순위,섹터,종목코드,종목명,시가총액(단위:백만원),자산총액(단위:백만원),시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장주식수,PBR,PBR 산출시점,최근 5개 사업연도 평균 PBR,`23 사업연도말 PBR,`22 사업연도말 PBR,`21 사업연도말 PBR,`20 사업연도말 PBR,`19 사업연도말 PBR,PER,PER 산출시점,최근 5개 사업연도 평균 PER,`23 사업연도말 PER,`22 사업연도말 PER,`21 사업연도말 PER,`20 사업연도말 PER,`19 사업연도말 PER,ROE,ROE 산출시점,최근 5개 사업연도 평균 ROE,`23 사업연도말 ROE,`22 사업연도말 ROE,`21 사업연도말 ROE,`20 사업연도말 ROE,`19 사업연도말 ROE,배당성향,배당성향 산출시점,최근 5개 사업연도 평균 배당성향,`23 사업연도말 배당성향,`22 사업연도말 배당성향,`21 사업연도말 배당성향,`20 사업연도말 배당성향,`19 사업연도말 배당성향,배당수익률,배당수익률 산출시점,최근 5개 사업연도 평균 배당수익률,`23 사업연도말 배당수익률,`22 사업연도말 배당수익률,`21 사업연도말 배당수익률,`20 사업연도말 배당수익률,`19 사업연도말 배당수익률,비고
909,정보기술,192650,드림텍,611682,900585,KOSPI,-,8560,-130,-1.5,8750,8780,8560,118076,1023301690,68883113,2.1,2024-06,2.57,1.35,2.16,4.13,3.44,1.8,26.31,45444,-,17.84,86.31,53.52,385.17,-,8.02,45444,-,7.83,3.32,7.78,0.92,-,0,45261,-,0,0,0,0,-,0,45261,0,0,0,0,0,0,-
900,정보기술,195870,해성디에스,476000,723340,KOSPI,-,29400,300,1.03,28800,29500,28800,61659,1799967450,17000000,0.51,2024-06,0.37,0.4,0.24,0.36,0.38,0.48,2.92,45444,4.68,4,1.78,4.17,5.46,7.98,15.17,45444,9.56,7.81,17.84,8.82,7.13,6.23,26.61,45261,23.07,26.61,11.9,26.83,23.93,26.07,6.65,45261,5.49,6.65,6.67,6.45,4.4,3.27,-
474,정보기술,222800,심텍,544069,1404697,KOSDAQ GLOBAL,우량기업부,19200,-420,-2.14,19830,19900,19170,108954,2114438600,31854143,0.55,2024-06,0.6,0.67,0.59,0.78,0.53,0.45,10.46,45444,8.45,11.25,6.48,9.42,9.78,5.32,4.03,45444,5.74,4.51,7.08,6.39,4.12,6.6,10.62,45261,6.08,10.62,7.12,4.23,5.08,3.34,0.7,45261,0.54,0.7,0.82,0.33,0.38,0.47,-
728,정보기술,272290,이녹스첨단소재,475350,777555,KOSDAQ GLOBAL,우량기업부,27250,-100,-0.37,27500,27500,26850,142164,3853460450,20227658,4.94,2024-06,2.29,4.46,1.27,1.47,3.72,0.53,-,45444,-,-,-,-,-,12.38,-,45444,-,-,-,-,-,4.12,-,45261,-,-,-,-,-,0,0,45261,0,0,0,0,0,0,-
516,정보기술,319660,피에스케이,614094,548181,KOSDAQ GLOBAL,우량기업부,22850,-250,-1.08,23350,23450,22700,103481,2370735300,28966714,0.26,2024-06,0.36,0.26,0.29,0.41,0.46,0.39,7.93,45444,4.03,5.09,3.31,3.25,4.38,4.1,2.73,45444,7.66,4.28,7.3,10.58,8.2,7.93,29.21,45261,26.96,29.21,23.4,24.05,28.16,29.98,4.66,45261,5.7,4.66,6.05,6.48,5.36,5.97,-
172,정보기술,348210,넥스틴,658590,166872,KOSDAQ GLOBAL,우량기업부,52500,1200,2.34,51700,52700,50900,51454,2683366900,10437250,0.4,2024-06,0.53,0.42,0.41,0.69,0.61,0.5,-,45444,36.4,103.99,27.16,10.76,31.14,8.97,-,45444,3.26,0.4,1.52,6.77,1.99,5.62,33.52,45261,25.05,33.52,22.39,15.8,38.56,14.96,0.31,45261,1.1,0.31,0.81,1.5,1.25,1.65,-
55,정보기술,403870,HPSP,2529491,327758,KOSDAQ GLOBAL,중견기업부,31100,-550,-1.74,31650,31850,30450,462343,14331868950,82934144,0.21,2024-06,0.3,0.24,0.25,0.37,0.3,0.35,70.26,45444,-,10.44,-,17.93,-,-,0.3,45444,-,2.32,-,2.04,-,-,42.26,45261,-,42.26,-,49.55,-,-,4,45261,3.38,4,4,2.73,3.36,2.79,-
919,커뮤니케이션서비스,030000,제일기획,2093750,2776902,KOSPI,-,18390,-100,-0.54,18620,18650,18390,177916,3288287580,115041225,0.95,2024-06,0.66,0.98,0.5,0.97,0.55,0.29,65.97,45444,44.78,178.89,5.45,12.68,14.11,12.79,1.44,45444,4.84,0.55,9.37,8.01,4,2.25,147.44,45261,40.67,147.44,8.78,8.79,13.81,24.54,0.84,45261,1.23,0.84,1.63,0.71,1.01,1.98,-
199,커뮤니케이션서비스,035900,JYP Ent.,1783731,549478,KOSDAQ GLOBAL,우량기업부,50400,-600,-1.18,51300,51900,50200,349100,17749898100,35532492,0.51,2024-06,0.81,0.7,0.67,0.8,1.03,0.83,5.49,45444,-,82.9,15.21,31.11,-,48.58,9.54,45444,-,0.84,4.46,2.65,-,1.72,193.81,45261,-,193.81,36.37,63.75,-,99.42,2.34,45261,2.11,2.34,2.39,2.06,1.69,2.05,-
1149,커뮤니케이션서비스,036570,엔씨소프트,4239322,4167147,KOSPI,-,191000,-900,-0.47,194600,198400,191000,124327,24188698500,21954022,1.22,2024-06,1.66,1.39,1.29,2.05,1.92,1.66,-,45444,-,-,9.2,59.04,32.66,-,-,45444,-,-,15.06,3.54,6.06,-,-,45261,-,-,0,0,0,-,0,45261,0,0,0,0,0,0,-
445,커뮤니케이션서비스,041510,에스엠,1576370,1486016,KOSDAQ,우량기업부,66900,-900,-1.33,68700,68900,66300,94566,6380739400,23353627,0.6,2024-06,0.66,0.62,0.68,0.69,0.63,0.69,5.57,45444,14.24,5.66,29.08,10.73,16.59,9.12,11.1,45444,6.49,11.61,2.37,6.81,3.84,7.84,18.93,45261,43.38,18.93,88.86,32.79,50.54,25.79,3.45,45261,3.11,3.45,3.12,3.1,3.05,2.83,-
225,커뮤니케이션서비스,067160,SOOP,1041426,615812,KOSDAQ GLOBAL,우량기업부,100300,-1700,-1.67,103900,104700,100300,55010,5585953400,11494767,31.22,2024-06,10.09,32.33,11.31,1.94,3.48,1.39,-,45444,-,-,-,16.62,-,-,-,45444,-,-,-,13.57,-,-,-,45261,-,-,-,0,-,-,0,45261,0,0,0,0,0,0,-
112,필수소비재,003230,삼양식품,4120559,1419234,KOSPI,-,543000,5000,0.93,541000,557000,532000,73284,40071811000,7533015,0.32,2024-06,0.33,0.34,0.35,0.42,0.28,0.27,3.03,45444,-,8.42,13.23,-,-,-,11.39,45444,-,4.12,2.43,-,-,-,0,45261,-,0,0,-,-,-,0,45261,0,0,0,0,0,0,-
